# logrho energy radius_cm pressure temperature
-9.3843 -10.414 21798298255139.945 63.76758944326093 2555.0535105132612
-9.3581 -10.38 21768203586618.297 68.17105263058534 2567.4382081061294
-9.3324 -10.354 21738150466710.344 72.79474013242678 2580.4770444360247
-9.3066 -10.346 21713137897258.562 77.76783344557057 2594.179362118815
-9.2765 -10.338 21678168643367.1 84.00400652637687 2609.7565724941437
-9.245 -10.343 21643255707854.13 91.09614522659137 2627.2415264688602
-9.222 -10.35 21618352327164.754 96.6495864314214 2639.9761293548113
-9.2024 -10.358 21593477601053.887 101.62486928706959 2650.940621093076
-9.1759 -10.359 21563665707344.242 108.79276133832896 2666.244668312513
-9.1464 -10.358 21528937180103.348 117.38159324832205 2683.490115967991
-9.1241 -10.356 21504165337748.82 124.27964384409145 2696.4973635434194
-9.1057 -10.358 21484368387763.098 130.28667477561604 2707.0732039213576
-9.09 -10.355 21464589663047.812 135.67505302998612 2716.4392688390835
-9.0645 -10.351 21434955711658.496 144.8438299900705 2731.492422089182
-9.0409 -10.344 21410292007206.977 153.8863149819954 2745.996630524712
-9.0146 -10.338 21380733019006.75 164.66450767206368 2762.4854546315764
-8.9966 -10.332 21356131704815.516 172.46461370742517 2773.320104651841
-8.9776 -10.328 21336471036074.91 181.09230641640588 2785.4797143757387
-8.9614 -10.319 21316828467142.86 188.7556673068528 2795.76072758083
-8.937 -10.294 21287398514440.008 200.95554765889193 2811.253440841773
-8.9074 -10.238 21253114918634.438 216.92020190687185 2831.391995799379
-8.8797 -10.18 21218886536947.26 233.07731152826386 2851.0182675039096
-8.8556 -10.137 21189591802594.414 248.25614085898934 2870.119636464438
-8.8313 -10.102 21160337512468.453 264.72807400175634 2890.014355349471
-8.8074 -10.074 21131123610732.164 282.09799536634296 2911.3874126187557
-8.7887 -10.064 21106809504630.223 296.5514145782622 2928.8693550290154
-8.7632 -10.047 21072816749465.21 317.46803215678744 2953.928642960281
-8.7431 -10.048 21048569732990.75 335.11973196770776 2974.404298125139
-8.7139 -10.042 21009832523915.633 362.5767902411965 3005.3842076633828
-8.6861 -10.04 20975995951273.656 390.93090059622864 3035.9876459875045
-8.6584 -10.034 20937392304991.234 421.40530639128616 3066.9027151623077
-8.6382 -10.033 20908486200773.766 445.04097664953724 3090.295432513592
-8.6172 -10.029 20879620004241.504 471.194269420276 3115.300895973758
-8.6002 -10.025 20860398016944.97 493.5145940408827 3135.4508691442925
-8.573 -9.977 20822007113922.88 531.3736321187098 3169.56746304349
-8.5524 -9.899 20793260310171.754 562.341325190349 3197.422303204927
-8.5277 -9.8 20759772529526.793 603.2537079266128 3236.6817570165304
-8.5089 -9.706 20731111646665.734 637.2355556351471 3272.6533057537135
-8.4937 -9.584 20707257806355.402 666.9603248243567 3305.9783107043236
-8.4714 -9.372 20669148738366.816 714.8254395687635 3363.566357483622
-8.4561 -9.154 20640612970453.87 751.2768385722684 3411.1435809487116
-8.451 -8.994 20631109805259.246 764.1876239634677 3429.2567329756016
-8.4489 -8.902 20631109805259.246 769.8391619294356 3437.1619861753497
-8.4458 -8.7 20621611015426.406 778.2157212031623 3449.0540481442044
-8.4435 -8.444 20621611015426.406 784.5127388202924 3457.8010353230598
-8.44 7.603 20612116598940.855 793.7797216901173 3471.362758876978
-8.4367 8.566 20607371030074.066 803.341124757973 3485.7802105603496
-8.4343 8.862 20602626553789.07 810.2144789817688 3496.2300400270183
-8.432 8.997 20597883169834.37 817.146641346752 3507.5187395256794
-8.4252 9.26 20583659569437.258 838.1080267271636 3540.788613684981
-8.4189 9.521 20569445790962.48 859.013521505396 3575.197187450261
-8.4051 9.779 20536318466129.27 909.9132726322517 3668.5969444134184
